 ListingID,Link,Host ID,Listing Type,lat,lng,Bedrooms,Bathrooms,Base Guests,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Booking Window,LOS,Dynamic Pricing,Professionally Managed,Beachfront,Hottub,Kitchen,Pets Allowed,Pool,EV Charger,new_listing,id
13699617,https://www.airbnb.com/rooms/13699617,21598270,Entire loft,43.6516,-70.27172,1,1.0,2,4.93,501,249.0,44.0,30865.0,350.0,2,18.0,2.0,Moderate,Small,No,No,Yes,No,No,No,0,196
13743542,https://www.airbnb.com/rooms/13743542,80472078,Entire rental unit,43.50324,-70.38742,1,1.0,3,4.86,113,135.0,97.0,23169.0,162.0,2,84.5,5.0,None,Small,No,No,Yes,No,No,No,0,197
13769244,https://www.airbnb.com/rooms/13769244,4224448,Entire rental unit,43.65731,-70.26609,1,1.0,2,4.82,304,200.0,74.0,37870.0,293.0,3,8.5,4.5,None,Small,No,No,Yes,No,No,No,0,198
13952608,https://www.airbnb.com/rooms/13952608,14416323,Entire rental unit,43.51928,-70.36909,1,1.0,4,4.98,58,225.0,95.0,22050.0,103.0,7,152.0,7.0,None,Individual,No,No,Yes,No,No,No,0,199
14009387,https://www.airbnb.com/rooms/14009387,28216209,Entire rental unit,43.65935,-70.26631,1,1.0,2,4.68,467,80.0,79.0,26785.0,224.0,1,51.0,2.0,Low,Small,No,No,Yes,No,No,No,0,200
14042505,https://www.airbnb.com/rooms/14042505,257423,Entire rental unit,43.665539613,-70.2445868022,1,1.0,4,4.92,263,155.0,73.0,33389.0,289.0,2,110.0,3.0,None,Individual,No,No,Yes,No,No,No,0,201
14089291,https://www.airbnb.com/rooms/14089291,638638,Entire rental unit,43.66937,-70.29688,1,1.0,2,4.76,268,100.0,83.0,29724.0,306.0,2,50.5,2.0,Moderate,Individual,No,No,Yes,Yes,No,No,0,202
14091519,https://www.airbnb.com/rooms/14091519,12691126,Entire rental unit,43.6513180821,-70.2677932096,1,1.0,2,4.93,427,95.0,81.0,24142.0,308.0,2,101.0,2.0,None,Individual,No,No,Yes,No,No,No,0,203
14196005,https://www.airbnb.com/rooms/14196005,86089919,Entire rental unit,43.46493,-70.42548,1,1.0,2,5.0,50,180.0,85.0,19866.0,124.0,2,25.0,4.0,None,Individual,No,No,Yes,No,No,No,0,204
14785702,https://www.airbnb.com/rooms/14785702,92314772,Entire loft,43.83947,-70.15076,1,1.0,2,4.99,68,125.0,75.0,15454.0,267.0,28,92.0,31.0,None,Individual,No,No,Yes,No,No,No,0,205
15479607,https://www.airbnb.com/rooms/15479607,29464503,Entire rental unit,43.66247,-70.28434,1,1.0,2,4.92,320,155.0,38.0,16820.0,245.0,2,47.0,2.0,None,Individual,No,No,Yes,No,No,No,0,206
15545982,https://www.airbnb.com/rooms/15545982,97410180,Entire home,43.67065,-70.29219,1,1.0,2,4.94,279,179.0,56.0,33194.0,350.0,2,84.0,2.0,None,Individual,No,No,Yes,No,No,No,0,207
